City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed
Saint-Philippe,22,RE,1586658879,73,-21.36,55.77,73.99,3.36
Atambua,69,ID,1586658932,71,-9.11,124.89,79.93,5.14
Caravelas,3,BR,1586658708,86,-17.71,-39.25,78.01,5.01
Esperance,100,AU,1586658933,25,-33.87,121.9,89.6,20.8
Grindavik,51,IS,1586658933,80,63.84,-22.43,35.6,10.29
Calvinia,95,ZA,1586658933,64,-31.47,19.78,55.72,11.65
Cap Malheureux,40,MU,1586658709,78,-19.98,57.61,79.0,14.99
Coahuayana Viejo,55,MX,1586658637,78,18.73,-103.68,73.89,3.98
Talnakh,40,RU,1586658934,80,69.49,88.4,30.2,38.03
Airai,97,TL,1586658768,69,-8.93,125.41,66.65,0.94
Gachsaran,40,IR,1586658935,76,30.36,50.8,57.2,4.43
São João da Barra,100,BR,1586658935,87,-21.64,-41.05,71.51,12.17
Hambantota,16,LK,1586658935,74,6.12,81.12,83.28,9.6
Salym,22,RU,1586658936,84,60.06,71.48,40.1,4.29
Boa Vista,56,BR,1586658936,62,2.82,-60.67,84.2,8.05
Lagoa,0,PT,1586658829,78,39.05,-27.98,60.85,10.2
Kang,0,BW,1586658937,47,-23.68,22.79,64.96,6.67
Ossora,44,RU,1586658937,92,59.24,163.07,23.45,1.07
Thunder Bay,20,CA,1586658648,51,48.4,-89.32,36.0,8.05
North Bend,20,US,1586658647,81,43.41,-124.22,52.0,16.11
Padang,48,ID,1586658793,61,-0.95,100.35,87.93,1.23
Naze,75,JP,1586658938,88,28.37,129.48,69.8,16.11
Katsuura,75,JP,1586658828,76,35.13,140.3,57.99,9.17
Lata,75,PT,1586658938,93,40.16,-8.33,57.0,5.82
Hamilton,20,US,1586658939,43,39.18,-84.53,55.4,4.7
Havre-St-Pierre,1,CA,1586658886,92,50.23,-63.6,32.0,11.41
Saskylakh,0,RU,1586658939,91,71.92,114.08,4.95,7.52
Kavieng,95,PG,1586658668,69,-2.57,150.8,84.36,3.56
Haines Junction,0,CA,1586658940,72,60.75,-137.51,30.22,2.66
Bayan,0,CN,1586658940,32,46.08,127.4,57.51,5.59
Mt. Pleasant,20,US,1586658904,87,32.79,-79.86,60.8,10.11
Saint George,1,US,1586658744,29,37.1,-113.58,66.2,11.41
Dobson,1,US,1586658941,53,36.4,-80.72,55.4,1.45
De Aar,28,ZA,1586658941,34,-30.65,24.01,62.17,11.23
Aloleng,45,PH,1586658942,56,16.13,119.78,86.72,10.09
Mogadishu,1,SO,1586658942,74,2.04,45.34,83.23,9.64
Kaeo,79,NZ,1586658869,88,-35.1,173.78,68.0,7.0
San Patricio,75,MX,1586658945,74,19.22,-104.7,78.8,11.83
Lorengau,51,PG,1586658945,71,-2.02,147.27,84.81,2.98
Burnie,73,AU,1586658945,52,-41.07,145.92,64.0,13.0
Norman Wells,40,CA,1586658945,42,65.28,-126.83,28.4,3.2
Scarborough,59,GB,1586658842,93,54.28,-0.4,50.0,4.7
Avera,1,US,1586658946,66,33.19,-82.53,60.01,4.59
Pemangkat,95,ID,1586658946,68,1.17,108.97,83.93,6.76
Lüderitz,0,NA,1586658946,72,-26.65,15.16,60.8,5.82
Tamandaré,73,BR,1586658947,78,-8.76,-35.1,80.22,6.17
Mayumba,98,GA,1586658947,87,-3.43,10.66,77.72,11.21
Lázaro Cárdenas,31,MX,1586658948,83,17.96,-102.2,74.68,1.12
Faanui,8,PF,1586658948,73,-16.48,-151.75,82.62,13.2
Olafsvik,51,IS,1586658949,88,64.89,-23.71,33.84,23.22
Maiquetia,79,VE,1586658949,43,10.6,-66.95,72.0,12.75
Sinjai,26,ID,1586658949,69,-5.12,120.25,84.56,1.92
Bengkulu,45,ID,1586658950,62,-3.8,102.27,88.03,3.83
Marsh Harbour,70,BS,1586658950,83,26.54,-77.06,73.33,20.24
Oranjestad,20,AW,1586658687,83,12.52,-70.03,80.6,25.28
Lumeje,27,AO,1586658950,70,-11.55,20.78,61.81,4.61
Opuwo,10,NA,1586658950,60,-18.06,13.84,66.52,4.9
Lufilufi,75,WS,1586658951,70,-13.87,-171.6,89.6,8.05
Tiksi,94,RU,1586658951,90,71.69,128.87,6.48,19.98
Jūybār,75,IR,1586658951,93,36.64,52.91,46.4,4.7
Riyadh,40,SA,1586658733,26,24.69,46.72,71.6,9.17
Luwuk,4,ID,1586658952,58,-0.95,122.79,86.88,2.19
Laas,5,IT,1586658952,80,46.62,10.7,50.0,4.7
Kalmunai,21,LK,1586658682,70,7.42,81.82,85.14,6.08
Samarai,81,PG,1586658863,59,-10.62,150.67,83.52,7.87
Orichi,100,RU,1586658953,96,58.4,49.06,29.62,11.59
Lompoc,90,US,1586658953,76,34.64,-120.46,55.99,11.41
Port Hardy,20,CA,1586658954,34,50.7,-127.42,53.6,8.05
El Dorado,75,US,1586658954,93,33.21,-92.67,59.0,8.05
Pangnirtung,100,CA,1586658954,88,66.15,-65.71,25.32,8.16
Mahon,59,ES,1586658954,87,39.89,4.27,53.6,8.05
São Gabriel da Cachoeira,100,BR,1586658955,96,-0.13,-67.09,74.39,2.13
Sabang,55,ID,1586658955,71,5.89,95.32,85.19,9.42
Poum,87,NC,1586658955,72,-20.23,164.02,79.79,10.92
Cabo San Lucas,75,MX,1586658885,63,22.89,-109.91,69.01,10.29
Vao,13,NC,1586658956,75,-22.67,167.48,76.98,12.73
Ocho Rios,20,JM,1586658956,74,18.4,-77.1,84.2,3.36
Eucaliptus,0,BO,1586658956,13,-17.58,-67.52,45.54,1.07
Liliongan,20,PH,1586658957,40,7.36,124.79,93.18,3.33
Cidreira,23,BR,1586658957,71,-30.18,-50.21,64.42,3.24
Long Xuyen,26,VN,1586658957,55,10.38,105.42,87.67,6.69
Zhicheng,0,CN,1586658958,61,30.3,111.5,62.01,5.7
Brest,94,BY,1586658958,68,52.1,23.7,36.68,5.91
Tuatapere,32,NZ,1586658958,51,-46.13,167.68,71.01,5.99
Goderich,83,CA,1586658820,63,43.75,-81.72,44.01,13.82
Balabac,4,PH,1586658959,59,7.99,117.06,87.84,7.11
Voronovytsya,59,UA,1586658959,74,49.11,28.68,33.76,4.32
Hithadhoo,15,MV,1586658960,67,-0.6,73.08,84.51,7.9
Kenora,75,CA,1586658898,58,49.82,-94.43,30.2,10.29
Rocha,0,UY,1586658960,86,-34.48,-54.33,55.47,4.43
Castro,32,BR,1586658960,73,-24.79,-50.01,55.18,5.53
Sergeevka,100,KZ,1586658961,59,53.88,67.42,45.16,12.95
La Ronge,40,CA,1586658961,72,55.1,-105.28,17.6,12.75
Cockburn Town,0,TC,1586658908,79,21.46,-71.14,79.09,15.21
Mastic Beach,1,US,1586658840,48,40.77,-72.85,50.0,3.36
Aksu,91,CN,1586658962,15,41.12,80.26,65.16,4.41
Swindon,1,GB,1586658962,76,51.56,-1.78,52.0,4.7
Najrān,40,SA,1586658693,34,17.49,44.13,78.8,6.93
Chapais,90,CA,1586658761,68,49.78,-74.85,26.6,9.17
Guaratuba,90,BR,1586658963,84,-25.88,-48.57,62.01,3.36
Dhandhuka,24,IN,1586658963,25,22.37,71.98,91.2,12.8
Belmonte,75,BR,1586658963,88,-15.86,-38.88,77.0,2.24
Torbay,5,CA,1586658914,96,47.67,-52.73,34.0,18.34
Nouadhibou,0,MR,1586658963,77,20.93,-17.03,66.2,18.34
Cariamanga,97,EC,1586658836,59,-4.33,-79.55,54.68,0.83
Iberia,90,US,1586658964,68,29.95,-91.75,72.0,5.82
Islamkot,83,PK,1586658965,25,24.7,70.18,88.05,11.1
Orlik,99,RU,1586658965,51,52.52,99.83,31.62,1.66
Kavaratti,63,IN,1586658965,66,10.57,72.64,84.96,3.85
Vila Franca do Campo,20,PT,1586658965,82,37.72,-25.43,57.2,10.29
Broome,1,US,1586658966,55,42.25,-75.83,35.6,3.36
Vilyuysk,98,RU,1586658786,89,63.76,121.62,32.95,13.35
Fonte Boa,100,BR,1586658966,96,-2.5,-66.27,72.91,4.97
Hervey Bay,0,AU,1586658966,28,-25.3,152.85,84.2,5.82
Bonavista,45,CA,1586658967,85,48.65,-53.11,33.01,10.0
Amapá,100,BR,1586658967,94,1.0,-52.0,73.42,2.04
Rock Sound,69,BS,1586658967,86,24.9,-76.2,75.52,18.16
Arman',93,RU,1586658967,92,59.7,150.17,25.77,5.64
The Hague,19,NL,1586658758,93,52.08,4.3,52.0,2.24
Qinzhou,66,CN,1586658968,50,21.95,108.62,65.3,19.04
Junction City,1,US,1586658760,56,39.03,-96.83,72.0,12.75
Taltal,7,CL,1586658969,78,-25.4,-70.48,61.48,1.59
Hearst,61,CA,1586658969,93,49.68,-83.67,29.93,7.4
Kimbe,54,PG,1586658969,74,-5.55,150.14,85.78,4.76
Kudahuvadhoo,0,MV,1586658969,66,2.67,72.89,84.38,5.19
Nehe,0,CN,1586658969,29,48.48,124.83,62.47,8.43
Dwārka,0,IN,1586658970,76,22.24,68.97,79.9,12.57
Takoradze,51,GH,1586658786,84,4.88,-1.76,80.46,3.6
Djebeniana,0,TN,1586658764,82,35.03,10.91,57.2,4.7
Makakilo City,40,US,1586658841,78,21.35,-158.09,82.4,13.87
Jalu,0,LY,1586658971,47,29.03,21.55,57.31,6.26
Lock Haven,1,US,1586658971,45,41.14,-77.45,42.8,3.36
Brae,100,GB,1586658917,75,60.4,-1.35,46.4,29.97
Wamba,100,NG,1586658971,44,8.93,8.6,76.42,2.77
Koungheul,46,SN,1586658972,52,13.98,-14.8,74.14,8.28
Dikson,100,RU,1586658972,96,73.51,80.55,14.99,9.95
Berlevåg,100,NO,1586658972,79,70.86,29.09,21.2,14.99
Capitão Poço,100,BR,1586658973,95,-1.75,-47.06,75.36,3.6
Khatanga,100,RU,1586658973,97,71.97,102.5,17.96,11.74
Raja,100,SS,1586658973,49,8.46,25.68,74.32,2.57
Vardø,48,NO,1586658973,94,70.37,31.11,26.17,10.33
Bubaque,1,GW,1586658952,77,11.28,-15.83,77.97,10.51
Khani,90,GE,1586658974,93,41.96,42.96,44.6,4.7
Nishihara,90,JP,1586658974,82,26.18,127.76,68.0,17.22
Maniitsoq,100,GL,1586658881,82,65.42,-52.9,39.02,16.53
Bambous Virieux,40,MU,1586658975,78,-20.34,57.76,79.0,14.99
Ushtobe,18,KZ,1586658976,36,45.25,77.98,58.35,4.81
San Quintín,20,MX,1586658976,81,30.48,-115.95,59.65,15.14
Guerrero Negro,7,MX,1586658977,71,27.98,-114.06,61.11,19.04
San Cristobal,65,VE,1586658866,61,7.77,-72.22,68.31,2.24
Nelson Bay,17,AU,1586658978,37,-32.72,152.15,72.0,8.05
Maumere,10,ID,1586658978,65,-8.62,122.21,84.25,4.25
Buala,81,SB,1586658978,71,-8.14,159.59,84.72,4.92
Dingle,23,PH,1586658978,56,11.0,122.67,87.64,6.91
Yatou,16,CN,1586658979,52,37.15,122.38,51.24,15.05
Marquette,40,US,1586658979,48,46.53,-87.63,42.8,8.05
Angoche,48,MZ,1586658979,82,-16.23,39.91,72.1,5.28
Nipawin,90,CA,1586658980,53,53.37,-104.0,21.2,9.17
Crestview,1,US,1586658980,71,30.76,-86.57,68.0,5.5
Nanortalik,100,GL,1586658980,76,60.14,-45.24,36.9,38.36
Porterville,1,US,1586658743,68,36.07,-119.02,68.0,8.05
La Primavera,83,CO,1586658981,74,5.49,-70.41,81.41,1.88
Leningradskiy,85,RU,1586658981,91,69.38,178.42,18.28,4.36
Bellevue,1,US,1586658981,35,47.61,-122.2,55.99,9.17
Seymchan,91,RU,1586658981,94,62.88,152.43,27.45,4.88
Kushmurun,86,KZ,1586658982,75,52.45,64.63,42.12,6.71
Darhan,100,MN,1586658716,24,49.49,105.92,56.86,11.36
Ōdachō-ōda,75,JP,1586658982,81,35.18,132.5,46.4,18.34
Seydi,100,TM,1586658983,66,39.48,62.91,64.31,7.16
Kirensk,5,RU,1586658983,62,57.79,108.11,40.66,4.25
Port Keats,93,AU,1586658966,59,-14.25,129.55,88.86,6.4
Bathsheba,40,BB,1586658983,69,13.22,-59.52,80.6,14.99
Honningsvåg,100,NO,1586658984,79,70.98,25.97,21.2,14.99
Surab,97,PK,1586658984,22,28.49,66.26,67.24,6.96
Marawi,23,PH,1586658909,40,8.0,124.29,84.78,4.5
Praia da Vitória,40,PT,1586658899,82,38.73,-27.07,60.8,11.41
Desaguadero,0,PE,1586658986,16,-16.57,-69.04,44.82,8.46
City of San Pedro,75,PH,1586658986,62,14.35,121.02,89.6,8.05
Arlit,23,NE,1586658987,14,18.74,7.39,80.37,8.68
Luena,19,AO,1586658987,67,-11.78,19.92,59.34,3.74
Garissa,87,KE,1586658987,74,-0.45,39.64,78.57,12.39
Atbasar,100,KZ,1586658700,64,51.8,68.33,41.77,13.13
Ostrovnoy,0,RU,1586658967,93,68.05,39.51,14.67,10.6
Malumfashi,100,NG,1586658988,16,11.79,7.62,74.48,7.85
Finschhafen,92,PG,1586658988,72,-6.6,147.87,84.33,7.18
Urengoy,100,RU,1586658988,95,65.97,78.37,23.72,8.25
Budaun,0,IN,1586658989,21,28.05,79.12,88.12,8.43
Wakkanai,20,JP,1586658989,48,45.41,141.67,42.8,14.99
Dhidhdhoo,28,MV,1586658989,65,6.88,73.1,86.09,8.57
Rāzampeta,0,IN,1586658845,34,14.18,79.17,88.81,3.94
Geraldton,90,AU,1586658990,69,-28.77,114.6,80.6,10.29
Amahai,34,ID,1586658754,69,-3.33,128.92,84.52,0.83
Zyryanka,22,RU,1586658990,97,65.75,150.85,30.45,15.26
Wenling,1,CN,1586658991,60,28.37,121.36,63.0,3.0
Prince Rupert,1,CA,1586658991,31,54.32,-130.32,50.0,10.29
Narsaq,100,GL,1586658991,36,60.92,-46.05,46.4,42.5
Bandarbeyla,48,SO,1586658944,74,9.49,50.81,80.92,3.94
Alamosa,90,US,1586658992,16,37.47,-105.87,55.4,11.41
Krasne,87,UA,1586658992,44,49.91,24.61,39.2,6.71
Fort Nelson,20,CA,1586658992,25,58.81,-122.7,37.4,4.7
Stornoway,94,GB,1586658993,86,58.21,-6.39,42.01,5.82
Colonial Heights,1,US,1586658993,53,37.27,-77.41,52.0,5.64
Bud,75,US,1586658993,37,39.45,-86.18,57.2,8.05
Clyde River,20,CA,1586658993,91,70.47,-68.59,-0.4,9.17
Rome,1,US,1586658724,68,43.21,-75.46,34.0,4.38
Kandrian,48,PG,1586658994,79,-6.22,149.55,84.61,8.12
Saint Lawrence,0,MT,1586658994,93,36.06,14.2,55.0,8.05
Castleisland,75,IE,1586658994,93,52.23,-9.47,48.2,4.7
Bilma,97,NE,1586658876,17,18.69,12.92,75.38,6.24
Dubno,99,UA,1586658995,71,50.42,25.73,36.01,5.21
Roald,100,NO,1586658995,81,62.58,6.13,46.99,19.46
São Filipe,35,CV,1586658871,75,14.9,-24.5,74.5,9.84
Rundu,100,NA,1586658996,93,-17.93,19.77,64.4,1.12
Mayya,20,RU,1586658996,51,61.73,130.28,39.2,8.95
Garça,0,BR,1586658996,88,-22.21,-49.66,68.0,10.29
Kidal,59,ML,1586658996,20,18.44,1.41,83.95,5.37
Erzin,2,TR,1586658997,87,36.96,36.2,57.2,4.7
Sulangan,13,PH,1586658997,69,11.14,123.72,82.94,6.55
Westport,1,US,1586658997,36,41.14,-73.36,51.8,8.05
Verkhoyansk,74,RU,1586658998,86,67.54,133.38,34.14,4.68
Ulaanbaatar,75,MN,1586658998,12,47.91,106.88,51.8,20.13
Samfya,63,ZM,1586658998,68,-11.36,29.56,60.8,4.76
Narrabri,0,AU,1586658998,34,-30.32,149.78,68.0,6.93
Tautira,100,PF,1586658999,66,-17.73,-149.15,87.8,9.17
Dutlwe,10,BW,1586658999,49,-23.98,23.9,64.81,5.57
Helong,0,CN,1586658999,41,42.54,129.0,46.74,6.62
Lugovoy,100,KZ,1586659000,46,42.95,72.76,58.08,7.92
Cobija,17,BO,1586659000,73,-11.03,-68.77,74.21,0.67
Sechura,100,PE,1586659000,72,-5.56,-80.82,75.13,12.28
Okhotsk,53,RU,1586659000,94,59.38,143.3,30.88,7.67
Cuamba,69,MZ,1586659000,81,-14.8,36.54,62.37,1.5
Polyarny,49,RU,1586659001,85,69.2,33.45,15.8,8.84
Makkah al Mukarramah,39,SA,1586659001,41,21.43,39.83,66.38,6.71
Itigi,100,TZ,1586659001,64,-5.7,34.48,62.73,6.6
Dalbandin,100,PK,1586659002,19,28.89,64.41,80.13,3.87
Sheksna,0,RU,1586659002,92,59.21,38.51,26.6,3.96
Alyangula,75,AU,1586659003,62,-13.85,136.42,89.6,4.7
Sibolga,82,ID,1586658912,57,1.74,98.78,89.02,0.76
Qui Nhon,97,VN,1586658939,63,13.77,109.23,85.57,2.68
Coquimbo,76,CL,1586658835,87,-29.95,-71.34,59.0,4.7
Pell City,20,US,1586659004,76,33.59,-86.29,59.0,4.68
Southbridge,1,US,1586659004,44,42.08,-72.03,42.01,10.29
Muisne,100,EC,1586659005,86,0.6,-80.03,77.0,1.5
Morón,25,AR,1586659005,93,-34.65,-58.62,66.0,3.36
Khandyga,100,RU,1586658934,93,62.67,135.6,33.35,6.26
Asău,14,RO,1586659005,69,46.43,26.4,37.99,3.36
Severo-Kuril'sk,70,RU,1586658846,95,50.68,156.12,31.15,7.27
Mount Isa,1,AU,1586659006,10,-20.73,139.5,86.0,10.29
Apatou,100,GF,1586659006,92,5.16,-54.35,72.09,1.97
Baruun-Urt,0,MN,1586659006,19,46.68,113.28,56.62,10.96
Winslow,1,US,1586659006,43,35.02,-110.7,51.8,21.92
Ghanzi,53,BW,1586659007,48,-21.57,21.78,65.77,4.14
Baghdad,0,IQ,1586658742,58,33.34,44.4,57.2,5.82
Enna,5,IT,1586659007,100,37.56,14.29,53.01,6.93
Salinópolis,100,BR,1586659007,82,-0.61,-47.36,81.48,8.08
Walvis Bay,1,NA,1586659008,64,-22.96,14.51,69.8,3.36
Comodoro Rivadavia,3,AR,1586658879,57,-45.87,-67.5,51.8,1.12
Tura,1,IN,1586659008,24,25.52,90.22,88.61,3.8
Khor,3,RU,1586659008,36,47.89,134.95,54.68,6.93
Ahipara,79,NZ,1586658906,73,-35.17,173.17,68.9,20.09
Nelson,100,NZ,1586659009,73,-41.28,173.28,64.99,4.0
Aitape,99,PG,1586659009,75,-3.14,142.35,84.65,5.28
